35
0 -43 3072-44 0 0
-1 176 0 0 0 0
0 42 257 0 0 0
257 74 417 32 0 0
416 106 577 64 0 0
576 138 736 96 0 0
800 42 832 0 0 0
864 74 896 0 0 0
928 106 960 0 0 0
960 42 1088 0 0 0
1055 100 1089 96 0 0
1094 137 1125 34 1 0
1088 138 1184 124 0 0
1153 42 1247 28 0 0
1217 138 1312 125 0 0
1280 73 1344 12 0 0
1377 41 1441 22 0 0
1473 73 1537 54 0 0
1570 41 1695 22 0 0
1312 106 1602 93 0 0
1600 138 1760 125 0 0
1824 41 1856 12 0 0
1895 138 1952 0 1 0
1855 101 1890 96 0 0
1984 74 2016 0 0 0
2049 74 2145 0 0 0
2144 106 2240 0 0 0
2240 42 2336 0 0 0
2336 74 2400 0 0 0
2400 42 2497 0 0 0
2497 74 2592 0 0 0
2592 42 2657 0 0 0
2657 74 2721 0 0 0
2721 106 2880 0 0 0
2945 42 3072 0 0 0
